81,19.82,  +2.0  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Sestriere                   ,  11.08.1988
81,19.82,  +1.1  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Oslo                        ,  05.07.1996
81,19.82,  +1.6  ,  Ato Boldon                    , TTO  ,   30.12.73  ,  1rA  ,  Stockholm                   ,  07.07.1997
81,19.82,  +1.3  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  New York City               ,  02.06.2007
81,19.82,  -0.2  ,  Warren Weir                   , JAM  ,   31.10.89  ,1,  New York City               ,  14.06.2014
86,19.83,  +0.9  ,  Tommie Smith                  , USA  ,   12.06.44  ,1,  Ciudad de México            ,  16.10.1968
86,19.83,  +1.7  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Atlanta                     ,  18.05.1996
86,19.83,  +0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Ostrava                     ,  12.06.2008
86,19.83,  -0.5  ,  Usain Bolt                    , JAM  ,   21.08.86  ,2,  Kingston                    ,  01.07.2012
86,19.83,  +1.3  ,  Noah Lyles                    , USA  ,   18.07.97  ,1,  Ad-Dawhah                   ,  04.05.2018
91,19.84,  +0.2  ,  Carl Lewis                    , USA  ,   01.07.61  ,  1q3  ,  Los Angeles                 ,  19.06.1984
91,19.84,  +1.7  ,  Francis Obikwelu              , NGR  ,   22.11.78  ,  1s2  ,  Sevilla                     ,  25.08.1999
91,19.84,  +0.2  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  London                      ,  28.07.2006
91,19.84,  +0.4  ,  Warren Weir                   , JAM  ,   31.10.89  ,3,  London                      ,  09.08.2012
91,19.84,  +1.2  ,  Alonso Edward                 , PAN  ,   08.12.89  ,1,  Lausanne                    ,  03.07.2014
91,19.84,  +1.2  ,  Wayde van Niekerk             , RSA  ,   15.07.92  ,1,  Kingston                    ,  10.06.2017
91,19.84,  -0.6  ,  Michael Norman                , USA  ,   03.12.97  ,1,  Paris                       ,  30.06.2018
98,19.85,  +0.4  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Edinburgh                   ,  06.07.1990
98,19.85,  +0.3  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Stuttgart                   ,  20.08.1993
98,19.85,  -0.9  ,  Ato Boldon                    , TTO  ,   30.12.73  ,1,  Lausanne                    ,  03.07.1996
98,19.85,  +1.1  ,  Michael Johnson               , USA  ,   13.09.67  ,2,  Oslo                        ,  05.07.1996
98,19.85,  -0.3  ,  John Capel                    , USA  ,   27.11.78  ,1,  Sacramento                  ,  23.07.2000
98,19.85,  +0.0  ,  Shawn Crawford                , USA  ,   14.01.78  ,1,  Pretoria                    ,  12.04.2002
98,19.85,  -0.5  ,  Konstadínos Kedéris           , GRE  ,   11.07.73  ,1,  München                     ,  09.08.2002
98,19.85,  -0.3  ,  Wallace Spearmon              , USA  ,   24.12.84  ,3,  Berlin                      ,  20.08.2009
98,19.85,  +0.6  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Rieti                       ,  29.08.2010
98,19.85,  +1.4  ,  Churandy Martina              , NED  ,   03.07.84  ,  2rA  ,  Lausanne                    ,  23.08.2012
98,19.85,  +0.0  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,2,  Zürich                      ,  30.08.2012
98,19.85,  +1.9  ,  Ameer Webb                    , USA  ,   21.12.89  ,1,  Ad-Dawhah                   ,  06.05.2016
98,19.85,  -0.5  ,  Christian Coleman             , USA  ,   06.03.96  ,  1q1  ,  Lexington                   ,  27.05.2017
111,19.86,  +1.0  ,  Donald Quarrie                , JAM  ,   25.02.51  ,1,  Cali                        ,  03.08.1971
111,19.86,  -0.2  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Los Angeles                 ,  21.06.1984
111,19.86,  +1.0  ,  Michael Marsh                 , USA  ,   04.08.67  ,2,  New Orleans                 ,  28.06.1992
111,19.86,  +1.6  ,  Maurice Greene                , USA  ,   23.07.74  ,  2rA  ,  Stockholm                   ,  07.07.1997
111,19.86,  +0.4  ,  Ato Boldon                    , TTO  ,   30.12.73  ,1,  Athínai                     ,  16.06.1999
111,19.86,  +1.7  ,  Walter Dix                    , USA  ,   31.01.86  ,1,  Eugene                      ,  06.07.2008
111,19.86,  +1.7  ,  Shawn Crawford                , USA  ,   14.01.78  ,2,  Eugene                      ,  06.07.2008
111,19.86,  +0.5  ,  Walter Dix                    , USA  ,   31.01.86  ,1,  Roma                        ,  10.06.2010
111,19.86,  +0.4  ,  Walter Dix                    , USA  ,   31.01.86  ,  1rA  ,  Lausanne                    ,  08.07.2010
111,19.86,  +0.4  ,  Yohan Blake                   , JAM  ,   26.12.89  ,2,  Zürich                      ,  19.08.2010
111,19.86,  +0.7  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Oslo                        ,  09.06.2011
111,19.86,  +1.5  ,  Jason Young                   , JAM  ,   21.03.91  ,  1rA  ,  Luzern                      ,  17.07.2012
111,19.86,  +1.6  ,  Isiah Young                   , USA  ,   05.01.90  ,1,  Des Moines                  ,  23.06.2013
124,19.87,  +0.8  ,  Lorenzo Daniel                , USA  ,   23.03.66  ,1,  Eugene                      ,  03.06.1988
124,19.87,  +1.8  ,  John Regis                    , GBR  ,   13.10.66  ,1,  Sestriere                   ,  31.07.1994
124,19.87,  +1.2  ,  Jeff Williams                 , USA  ,   31.12.65  ,1,  Fresno                      ,  13.04.1996
124,19.87,  -1.2  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Osaka                       ,  08.05.1999
124,19.87,  +1.4  ,  John Capel                    , USA  ,   27.11.78  ,1,  Boise                       ,  05.06.1999
124,19.87,  +0.1  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Athínai                     ,  17.09.2006
124,19.87,  -0.2  ,  Warren Weir                   , JAM  ,   31.10.89  ,1,  Bruxelles                   ,  06.09.2013
124,19.87,  -0.2  ,  Justin Gatlin                 , USA  ,   10.02.82  ,  1s2  ,  Beijing                     ,  26.08.2015
124,19.87,  -0.1  ,  Anaso Jobodwana               , RSA  ,   30.07.92  ,3,  Beijing                     ,  27.08.2015
124,19.87,  -0.1  ,  Alonso Edward                 , PAN  ,   08.12.89  ,4,  Beijing                     ,  27.08.2015
134,19.88,  +1.5  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Sestriere                   ,  08.08.1990
134,19.88,  -0.9  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Barcelona                   ,  20.09.1991
134,19.88,  +1.7  ,  Michael Marsh                 , USA  ,   04.08.67  ,2,  Atlanta                     ,  18.05.1996
134,19.88,  -0.4  ,  Ato Boldon                    , TTO  ,   30.12.73  ,  1r2  ,  Athínai                     ,  17.06.1998
134,19.88,  -0.3  ,  Floyd Heard                   , USA  ,   24.03.66  ,2,  Sacramento                  ,  23.07.2000
134,19.88,  +0.1  ,  Joshua J. Johnson             , USA  ,   10.05.76  ,1,  Bruxelles                   ,  24.08.2001
134,19.88,  +0.3  ,  Shawn Crawford                , USA  ,   14.01.78  ,  1h3  ,  Sacramento                  ,  16.07.2004
134,19.88,  +0.4  ,  Usain Bolt                    , JAM  ,   21.08.86  ,3,  Lausanne                    ,  11.07.2006
134,19.88,  -0.1  ,  Wallace Spearmon              , USA  ,   24.12.84  ,2,  Stuttgart                   ,  10.09.2006
134,19.88,  +0.7  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Bruxelles                   ,  14.09.2007
134,19.88,  +0.1  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Daegu                       ,  03.10.2007
134,19.88,  +0.3  ,  Andre De Grasse               , CAN  ,   10.11.94  ,1,  Toronto                     ,  24.07.2015
134,19.88,  -0.4  ,  Ramil Guliyev                 , TUR  ,   29.05.90  ,1,  Zagreb                      ,  08.09.2015
134,19.88,  +1.2  ,  Miguel Francis                , ANT  ,   28.02.95  ,1,  Kingston                    ,  11.06.2016
134,19.88,  +0.4  ,  Michael Norman                , USA  ,   03.12.97  ,2,  Lausanne                    ,  05.07.2018
149,19.89,  +1.0  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Bruxelles                   ,  13.09.1991
149,19.89,  +0.7  ,  Maurice Greene                , USA  ,   23.07.74  ,  2rA  ,  Stuttgart                   ,  13.07.1997
149,19.89,  -0.8  ,  Claudinei Quirino da Silva    , BRA  ,   19.11.70  ,1,  München                     ,  11.09.1999
149,19.89,  +0.3  ,  Michael Johnson               , USA  ,   13.09.67  ,  1h4  ,  Sacramento                  ,  22.07.2000
149,19.89,  +1.8  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  London                      ,  22.07.2005
149,19.89,  +1.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,2,  New York City               ,  02.06.2007
149,19.89,  -0.3  ,  Wallace Spearmon              , USA  ,   24.12.84  ,2,  Indianapolis                ,  24.06.2007
149,19.89,  +1.3  ,  Jaysuma Saidy Ndure           , NOR  ,   01.01.84  ,1,  Stuttgart                   ,  23.09.2007
149,19.89,  -0.3  ,  Shawn Crawford                , USA  ,   14.01.78  ,4,  Berlin                      ,  20.08.2009
149,19.89,  +0.0  ,  Walter Dix                    , USA  ,   31.01.86  ,  1rA  ,  Tallahassee                 ,  08.05.2010
149,19.89,  +0.2  ,  Warren Weir                   , JAM  ,   31.10.89  ,1,  London                      ,  26.07.2013
149,19.89,  -0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  London                      ,  22.07.2016
161,19.9,  +0.3  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Norwalk                     ,  16.06.1990
161,19.9,  +0.4  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Osaka                       ,  10.05.1997
161,19.9,  +1.2  ,  Maurice Greene                , USA  ,   23.07.74  ,1,  Sevilla                     ,  27.08.1999
161,19.9,  -0.8  ,  Maurice Greene                , USA  ,   23.07.74  ,2,  München                     ,  11.09.1999
161,19.9,  +1.3  ,  Asafa Powell                  , JAM  ,   23.11.82  ,1,  Kingston                    ,  25.06.2006
161,19.9,  +0.3  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Indianapolis                ,  25.06.2006
161,19.9,  +0.4  ,  Wallace Spearmon              , USA  ,   24.12.84  ,4,  Lausanne                    ,  11.07.2006
161,19.9,  +1.7  ,  Wallace Spearmon              , USA  ,   24.12.84  ,3,  Eugene                      ,  06.07.2008
161,19.9,  +0.4  ,  Wallace Spearmon              , USA  ,   24.12.84  ,4,  London                      ,  09.08.2012
161,19.9,  +1.1  ,  Justin Gatlin                 , USA  ,   10.02.82  ,  1s2  ,  Eugene                      ,  28.06.2015
161,19.9,  +0.3  ,  Rasheed Dwyer                 , JAM  ,   29.01.89  ,2,  Toronto                     ,  24.07.2015
161,19.9,  +0.3  ,  Alonso Edward                 , PAN  ,   08.12.89  ,3,  Toronto                     ,  24.07.2015
161,19.9,  +0.5  ,  Wayde van Niekerk             , RSA  ,   15.07.92  ,1,  Potchefstroom               ,  22.04.2017
161,19.9,  -0.4  ,  Noah Lyles                    , USA  ,   18.07.97  ,1,  Shanghai                    ,  13.05.2017
161,19.9,  +1.0  ,  Ramil Guliyev                 , TUR  ,   29.05.90  ,1,  Oslo                        ,  07.06.2018
176,19.91,  +1.9  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Salamanca                   ,  13.07.1992
176,19.91,  +0.0  ,  Michael Johnson               , USA  ,   13.09.67  ,  1rA  ,  Sevilla                     ,  09.06.2000
176,19.91,  -0.7  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Sacramento                  ,  11.06.2005
176,19.91,  +1.4  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Carson                      ,  20.05.2007
176,19.91,  -0.8  ,  Usain Bolt                    , JAM  ,   21.08.86  ,2,  Osaka                       ,  30.08.2007
176,19.91,  +0.7  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,3,  Bruxelles                   ,  16.09.2011
176,19.91,  +1.1  ,  Yohan Blake                   , JAM  ,   26.12.89  ,1,  Kingston                    ,  05.05.2012
176,19.91,  +1.1  ,  Christophe Lemaitre           , FRA  ,   11.06.90  ,1,  London                      ,  14.07.2012
176,19.91,  +1.0  ,  Ameer Webb                    , USA  ,   21.12.89  ,  1rA  ,  Norwalk                     ,  16.04.2016
185,19.92,  +1.9  ,  John Carlos                   , USA  ,   05.06.45  ,1,  Echo Summit                 ,  12.09.1968
185,19.92,  +1.3  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Madrid                      ,  04.06.1987
185,19.92,  -0.2  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Bruxelles                   ,  23.08.1996
185,19.92,  +1.6  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Melbourne                   ,  25.02.1999
185,19.92,  +0.2  ,  Maurice Greene                , USA  ,   23.07.74  ,1,  Monaco                      ,  04.08.1999
185,19.92,  +0.2  ,  Xavier Carter                 , USA  ,   08.12.85  ,1,  Zürich                      ,  07.09.2007
185,19.92,  +0.0  ,  Jason Young                   , JAM  ,   21.03.91  ,2,  Bruxelles                   ,  07.09.2012
185,19.92,  +0.2  ,  Warren Weir                   , JAM  ,   31.10.89  ,2,  Saint-Denis                 ,  06.07.2013
185,19.92,  +1.7  ,  Justin Gatlin                 , USA  ,   10.02.82  ,  1h2  ,  Eugene                      ,  27.06.2015
185,19.92,  +0.4  ,  Alonso Edward                 , PAN  ,   08.12.89  ,2,  Lausanne                    ,  25.08.2016
185,19.92,  +0.9  ,  Ramil Guliyev                 , TUR  ,   29.05.90  ,1,  Stockholm                   ,  10.06.2018
196,19.93,  -1.5  ,  Lorenzo Daniel                , USA  ,   23.03.66  ,1,  Auburn                      ,  15.05.1988
196,19.93,  -0.3  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Monaco                      ,  09.09.1995
196,19.93,  +0.0  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Johannesburg                ,  24.09.1995
196,19.93,  +0.7  ,  Frank Fredericks              , NAM  ,   02.10.67  ,  3rA  ,  Stuttgart                   ,  13.07.1997
196,19.93,  +0.5  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Monaco                      ,  16.08.1997
196,19.93,  +0.8  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Roma                        ,  07.07.1999
196,19.93,  +0.2  ,  Frank Fredericks              , NAM  ,   02.10.67  ,2,  Monaco                      ,  04.08.1999
196,19.93,  +0.4  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Bruxelles                   ,  03.09.1999
196,19.93,  +1.4  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Hamilton                    ,  11.04.2004
196,19.93,  +0.6  ,  Tyson Gay                     , USA  ,   09.08.82  ,  1s1  ,  Sacramento                  ,  09.06.2005
196,19.93,  +0.1  ,  Wallace Spearmon              , USA  ,   24.12.84  ,3,  Monaco                      ,  22.07.2010
196,19.93,  +1.7  ,  Yohan Blake                   , JAM  ,   26.12.89  ,  1s2  ,  Kingston                    ,  30.06.2012
196,19.93,  -0.2  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,2,  Bruxelles                   ,  06.09.2013
196,19.93,  +0.4  ,  Isiah Young                   , USA  ,   05.01.90  ,2,  Eugene                      ,  28.06.2015
196,19.93,  +1.5  ,  Isiah Young                   , USA  ,   05.01.90  ,  1rA  ,  Monteverde                  ,  09.06.2018
211,19.94,  +1.4  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Sheffield                   ,  15.09.1991
211,19.94,  +1.1  ,  Michael Marsh                 , USA  ,   04.08.67  ,  1r2  ,  Austin                      ,  09.05.1992
211,19.94,  +0.3  ,  John Regis                    , GBR  ,   13.10.66  ,2,  Stuttgart                   ,  20.08.1993
211,19.94,  +0.0  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Monaco                      ,  02.08.1994
211,19.94,  +0.6  ,  Ato Boldon                    , TTO  ,   30.12.73  ,2,  Stockholm                   ,  08.07.1996
211,19.94,  +0.1  ,  Churandy Martina              , NED  ,   03.07.84  ,1,  New York City               ,  09.06.2012
211,19.94,  +0.1  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,2,  New York City               ,  09.06.2012
211,19.94,  +1.4  ,  Nickel Ashmeade               , JAM  ,   07.04.90  ,  3rA  ,  Lausanne                    ,  23.08.2012
211,19.94,  +0.6  ,  Wayde van Niekerk             , RSA  ,   15.07.92  ,  1rB  ,  Luzern                      ,  14.07.2015
211,19.94,  -0.4  ,  LaShawn Merritt               , USA  ,   27.06.86  ,  1s1  ,  Rio de Janeiro              ,  17.08.2016
