48,43.92,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   2rA  ,  Lausanne                ,    03.07.2014
48,43.92,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   1rA  ,  Madrid                  ,    14.07.2017
52,43.93,   Harry Reynolds             ,    USA   ,  08.06.64 ,1,  Indianapolis            ,    20.07.1988
52,43.93,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Seoul                   ,    28.09.1988
52,43.93,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Helsinki                ,    12.08.2005
52,43.93,   Youssef Al-Masrahi         ,    KSA   ,  31.12.87 ,   1h2  ,  Beijing                 ,    23.08.2015
52,43.93,   Rusheen McDonald           ,    JAM   ,  17.08.92 ,   2h2  ,  Beijing                 ,    23.08.2015
57,43.94,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Berlin                  ,    27.08.1993
57,43.94,   Kirani James               ,    GRN   ,  01.09.92 ,1,  London                  ,    06.08.2012
57,43.94,   Akeem Bloomfield           ,    JAM   ,  10.11.97 ,2,  Eugene                  ,    08.06.2018
60,43.95,   Michael Johnson            ,    USA   ,  13.09.67 ,   1s1  ,  Sevilla                 ,    24.08.1999
60,43.95,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Eugene                  ,    30.05.2015
60,43.95,   Isaac Makwala              ,    BOT   ,  29.09.86 ,1,  Zürich                  ,    24.08.2017
63,43.96,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Monaco                  ,    08.08.1998
63,43.96,   LaShawn Merritt            ,    USA   ,  27.06.86 ,2,  Osaka                   ,    31.08.2007
63,43.96,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Saint-Denis             ,    06.07.2013
63,43.96,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  Saint-Denis             ,    04.07.2015
67,43.97,   Larry James                ,    USA   ,  06.11.47 ,2,  Ciudad de México        ,    18.10.1968
67,43.97,   Quincy Watts               ,    USA   ,  19.06.70 ,   1s1  ,  New Orleans             ,    24.06.1992
67,43.97,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Eugene                  ,    31.05.2014
67,43.97,   LaShawn Merritt            ,    USA   ,  27.06.86 ,2,  Eugene                  ,    31.05.2014
67,43.97,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Eugene                  ,    03.07.2016
72,43.98,   Danny Everett              ,    USA   ,  01.11.66 ,2,  Indianapolis            ,    20.07.1988
72,43.98,   Michael Johnson            ,    USA   ,  13.09.67 ,   1r1  ,  London                  ,    10.07.1992
72,43.98,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1rA  ,  Oslo                    ,    06.06.2008
72,43.98,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Lausanne                ,    02.09.2008
72,43.98,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  London                  ,    08.08.2017
77,43.99,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  London                  ,    28.07.2006
77,43.99,   Steven Gardiner            ,    BAH   ,  12.09.95 ,1,  Shanghai                ,    12.05.2018
79,44,   Quincy Watts               ,    USA   ,  19.06.70 ,1,  Austin                  ,    06.06.1992
79,44,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Athínai                 ,    23.08.2004
79,44,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Eugene                  ,    03.07.2008
82,44.01,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   1r1  ,  La Chaux-de-Fonds       ,    06.07.2014
82,44.01,   Machel Cedenio             ,    TTO   ,  09.06.95 ,4,  Rio de Janeiro          ,    14.08.2016
84,44.02,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1rA  ,  Stockholm               ,    25.07.2006
84,44.02,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Stuttgart               ,    09.09.2006
84,44.02,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Osaka                   ,    05.05.2007
84,44.02,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Shanghai                ,    28.09.2007
84,44.02,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Shanghai                ,    18.05.2013
84,44.02,   Kirani James               ,    GRN   ,  01.09.92 ,   1s1  ,  Rio de Janeiro          ,    13.08.2016
84,44.02,   Baboloki Thebe             ,    BOT   ,  18.03.97 ,2,  Lausanne                ,    06.07.2017
91,44.03,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Berlin                  ,    01.06.2008
91,44.03,   Fred Kerley                ,    USA   ,  07.05.95 ,1,  Sacramento              ,    24.06.2017
93,44.04,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Berlin                  ,    30.08.1994
