95,01:42.98, Japheth Kimutai             ,   KEN   ,  20.12.78 ,   2rA   , Roma                     ,   07.07.1999
95,01:42.98, David Rudisha               ,   KEN   ,  17.12.88 ,5, Monaco                   ,   18.07.2014
95,01:42.98, Taoufik Makhloufi           ,   ALG   ,  29.04.88 ,   2rA   , Saint-Denis              ,   27.08.2016
101,01:43.00, Joaquim Cruz                ,   BRA   ,  12.03.63 ,1, Los Angeles              ,   06.08.1984
101,01:43.00, William Yiampoy             ,   KEN   ,  17.05.74 ,   4rA   , Zürich                   ,   17.08.2001
101,01:43.00, David Rudisha               ,   KEN   ,  17.12.88 ,1, Ad-Dawhah                ,   14.05.2010
104,01:43.01, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Zürich                   ,   11.08.1999
105,01:43.03, Kenneth Kimwetich           ,   KEN   ,  01.01.73 ,2, Stuttgart                ,   19.07.1998
105,01:43.03, Nick Symmonds               ,   USA   ,  30.12.83 ,   2rA   , Bruxelles                ,   06.09.2013
107,01:43.05, Wilfred Bungei              ,   KEN   ,  24.07.80 ,1, Hengelo                  ,   01.06.2003
107,01:43.05, Jonathan Kitilit            ,   KEN   ,  24.04.94 ,   3rA   , Saint-Denis              ,   27.08.2016
109,01:43.06, Billy Konchellah            ,   KEN   ,  20.10.61 ,1, Roma                     ,   01.09.1987
109,01:43.06, Wilfred Bungei              ,   KEN   ,  24.07.80 ,   1rA   , Zürich                   ,   06.08.2004
111,01:43.07, Sebastian Coe               ,   GBR   ,  29.09.56 ,2, Köln                     ,   25.08.1985
111,01:43.07, Yeimer López                ,   CUB   ,  20.08.82 ,   1rA   , Jerez de la Frontera     ,   24.06.2008
113,01:43.08, José Luis Barbosa           ,   BRA   ,  27.05.61 ,1, Rieti                    ,   06.09.1991
113,01:43.08, Ayanleh Souleiman           ,   DJI   ,  03.12.92 ,   1rA   , Barcelona                ,   08.07.2015
115,01:43.09, Japheth Kimutai             ,   KEN   ,  20.12.78 ,2, Monaco                   ,   04.08.1999
115,01:43.09, Djabir Said-Guerni          ,   ALG   ,  29.03.77 ,5, Bruxelles                ,   03.09.1999
115,01:43.09, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,   1rA   , Rieti                    ,   27.08.2006
115,01:43.09, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,1, Ad-Dawhah                ,   08.05.2009
119,01:43.10, Johnny Gray                 ,   USA   ,  19.06.60 ,1, Hengelo                  ,   14.08.1988
119,01:43.10, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,1, Hengelo                  ,   01.06.2009
119,01:43.10, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,1, Monaco                   ,   22.07.2010
119,01:43.10, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Ad-Dawhah                ,   11.05.2012
119,01:43.10, Emmanuel Korir              ,   KEN   ,  15.06.95 ,1, Monaco                   ,   21.07.2017
124,01:43.11, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Oslo                     ,   30.06.1999
124,01:43.11, Youssef Saad Kamel          ,   BRN   ,  29.03.83 ,   1rB   , Zürich                   ,   06.08.2004
124,01:43.11, Nijel Amos                  ,   BOT   ,  15.03.94 ,1, Mannheim                 ,   09.06.2012
127,01:43.12, André Bucher                ,   SUI   ,  19.10.76 ,   1rA   , Lausanne                 ,   05.07.2000
127,01:43.12, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,3, Bruxelles                ,   05.09.2003
129,01:43.13, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Byrkjelo                 ,   16.06.1996
129,01:43.13, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,2, London                   ,   05.08.2011
129,01:43.13, Abraham Rotich              ,   KEN   ,  26.06.93 ,1, Monaco                   ,   20.07.2012
132,01:43.15, Japheth Kimutai             ,   KEN   ,  20.12.78 ,4, Rieti                    ,   08.09.2002
132,01:43.15, Mehdi Baala                 ,   FRA   ,  17.08.78 ,5, Rieti                    ,   08.09.2002
132,01:43.15, David Rudisha               ,   KEN   ,  17.12.88 ,1, Melbourne                ,   04.03.2010
132,01:43.15, Asbel Kiprop                ,   KEN   ,  30.06.89 ,2, Monaco                   ,   22.07.2011
132,01:43.15, Abraham Rotich              ,   KEN   ,  26.06.93 ,   1rA   , Heusden-Zolder           ,   08.07.2012
137,01:43.16, Paul Ereng                  ,   KEN   ,  22.08.67 ,   1rA   , Zürich                   ,   16.08.1989
137,01:43.16, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,3, Monaco                   ,   04.08.1999
139,01:43.17, Benson Koech                ,   KEN   ,  10.11.74 ,1, Rieti                    ,   28.08.1994
139,01:43.17, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,2, Monaco                   ,   20.07.2001
139,01:43.17, Asbel Kiprop                ,   KEN   ,  30.06.89 ,2, Ad-Dawhah                ,   08.05.2009
142,01:43.18, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   2rA   , Zürich                   ,   12.08.1998
142,01:43.18, Nijel Amos                  ,   BOT   ,  15.03.94 ,1, London                   ,   09.07.2017
144,01:43.19, Steve Cram                  ,   GBR   ,  14.10.60 ,1, Rieti                    ,   07.09.1986
144,01:43.19, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,3, Köln                     ,   24.08.1997
146,01:43.20, José Luis Barbosa           ,   BRA   ,  27.05.61 ,   2rA   , Zürich                   ,   17.08.1988
146,01:43.20, Mark Everett                ,   USA   ,  02.09.68 ,   1rA   , Linz                     ,   09.07.1997
146,01:43.20, Mohammed Aman               ,   ETH   ,  10.01.94 ,6, London                   ,   09.08.2012
149,01:43.21, Patrick Ndururi             ,   KEN   ,  12.01.69 ,   3rA   , Zürich                   ,   12.08.1998
150,01:43.22, Steve Cram                  ,   GBR   ,  14.10.60 ,1, Edinburgh                ,   31.07.1986
150,01:43.22, Paul Ereng                  ,   KEN   ,  22.08.67 ,1, Nice                     ,   10.07.1989
150,01:43.22, Pawel Czapiewski            ,   POL   ,  30.03.78 ,   5rA   , Zürich                   ,   17.08.2001
150,01:43.22, Ferguson Cheruiyot          ,   KEN   ,  30.11.89 ,   3rA   , Bruxelles                ,   06.09.2013
154,01:43.23, Joaquim Cruz                ,   BRA   ,  12.03.63 ,   2rA   , Zürich                   ,   21.08.1985
155,01:43.24, Wilfred Bungei              ,   KEN   ,  24.07.80 ,   1rA   , Ostrava                  ,   12.06.2003
156,01:43.25, Vebjørn Rodal               ,   NOR   ,  16.09.72 ,1, London                   ,   12.07.1996
156,01:43.25, Djabir Said-Guerni          ,   ALG   ,  29.03.77 ,   1rA   , Bruxelles                ,   25.08.2000
156,01:43.25, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,   1r1   , Rehlingen                ,   09.06.2003
156,01:43.25, Amine Laâlou                ,   MAR   ,  13.05.82 ,1, Roma                     ,   14.07.2006
156,01:43.25, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Lausanne                 ,   08.07.2010
156,01:43.25, Michael Saruni              ,   KEN   ,  18.06.95 ,   1rA   , Tucson                   ,   28.04.2018
162,01:43.26, Sammy Kibet Langat          ,   KEN   ,  24.01.70 ,   1rB   , Zürich                   ,   14.08.1996
162,01:43.26, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,3, Monaco                   ,   29.07.2008
164,01:43.27, David Rudisha               ,   KEN   ,  17.12.88 ,1, Split                    ,   05.09.2010
164,01:43.27, Duane Solomon               ,   USA   ,  28.12.84 ,1, Des Moines               ,   23.06.2013
164,01:43.27, Nijel Amos                  ,   BOT   ,  15.03.94 ,1, Lausanne                 ,   09.07.2015
167,01:43.28, Johnny Gray                 ,   USA   ,  19.06.60 ,2, Bruxelles                ,   24.08.1984
167,01:43.28, Johnny Gray                 ,   USA   ,  19.06.60 ,3, Köln                     ,   26.08.1984
167,01:43.28, Sammy Koskei                ,   KEN   ,  14.05.61 ,2, Koblenz                  ,   29.08.1984
167,01:43.28, Wilson Kipketer             ,   DEN   ,  12.12.70 ,4, Bruxelles                ,   05.09.2003
167,01:43.28, Nijel Amos                  ,   BOT   ,  15.03.94 ,1, Berlin                   ,   06.09.2015
172,01:43.29, Wilson Kipketer             ,   KEN   ,  12.12.70 ,1, Oslo                     ,   22.07.1994
172,01:43.29, William Yiampoy             ,   KEN   ,  17.05.74 ,   2rA   , Zürich                   ,   06.08.2004
172,01:43.29, Boaz Lalang                 ,   KEN   ,  08.02.89 ,2, Monaco                   ,   22.07.2010
172,01:43.29, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,3, Monaco                   ,   22.07.2010
176,01:43.30, William Tanui               ,   KEN   ,  22.02.64 ,2, Rieti                    ,   06.09.1991
176,01:43.30, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Sevilla                  ,   29.08.1999
176,01:43.30, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,   6rA   , Zürich                   ,   17.08.2001
176,01:43.30, Adam Kszczot                ,   POL   ,  02.09.89 ,   2rA   , Rieti                    ,   10.09.2011
180,01:43.31, Nixon Kiprotich             ,   KEN   ,  04.12.62 ,1, Rieti                    ,   06.09.1992
180,01:43.31, André Bucher                ,   SUI   ,  19.10.76 ,   2rA   , Bruxelles                ,   25.08.2000
180,01:43.31, Wilfred Bungei              ,   KEN   ,  24.07.80 ,   2rA   , Rieti                    ,   27.08.2006
180,01:43.31, Mohammed Aman               ,   ETH   ,  10.01.94 ,1, Moskva                   ,   13.08.2013
180,01:43.31, David Rudisha               ,   KEN   ,  17.12.88 ,1, Berlin                   ,   03.09.2016
185,01:43.32, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,2, Sevilla                  ,   29.08.1999
185,01:43.32, Djabir Said-Guerni          ,   ALG   ,  29.03.77 ,   2rA   , Lausanne                 ,   05.07.2000
185,01:43.32, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,7, London                   ,   09.08.2012
188,01:43.33, Johnny Gray                 ,   USA   ,  19.06.60 ,3, Köln                     ,   25.08.1985
188,01:43.33, Robert Kibsubai Chirchir    ,   KEN   ,  26.11.72 ,3, Stuttgart                ,   19.07.1998
188,01:43.33, William Chirchir            ,   KEN   ,  06.02.79 ,6, Bruxelles                ,   03.09.1999
188,01:43.33, Joseph Mutua Mwengi         ,   KEN   ,  10.12.78 ,   1rA   , Zürich                   ,   16.08.2002
188,01:43.33, Mohammed Aman               ,   ETH   ,  10.01.94 ,   1rA   , Lausanne                 ,   04.07.2013
193,01:43.34, José Luis Barbosa           ,   BRA   ,  27.05.61 ,   1rA   , Koblenz                  ,   28.08.1988
193,01:43.34, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Berlin                   ,   30.08.1996
193,01:43.34, André Bucher                ,   SUI   ,  19.10.76 ,1, Saint-Denis              ,   06.07.2001
193,01:43.34, Asbel Kiprop                ,   KEN   ,  30.06.89 ,   1rA   , Saint-Denis              ,   05.07.2014
193,01:43.34, David Rudisha               ,   KEN   ,  17.12.88 ,1, Glasgow                  ,   12.07.2014
193,01:43.34, Boris Berian                ,   USA   ,  19.12.92 ,4, Monaco                   ,   17.07.2015
199,01:43.35, David Mack                  ,   USA   ,  30.05.61 ,   3r1   , Koblenz                  ,   28.08.1985
199,01:43.35, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   3rA   , Bruxelles                ,   25.08.2000
199,01:43.35, Joseph Mutua Mwengi         ,   KEN   ,  10.12.78 ,1, Rieti                    ,   05.09.2004
199,01:43.35, David Rudisha               ,   KEN   ,  17.12.88 ,1, Székesfehérvár           ,   18.07.2016
203,01:43.36, Johnny Gray                 ,   USA   ,  19.06.60 ,   1rB   , Zürich                   ,   16.08.1995
203,01:43.36, William Yiampoy             ,   KEN   ,  17.05.74 ,2, Bruxelles                ,   30.08.2002
203,01:43.36, Amine Laâlou                ,   MAR   ,  13.05.82 ,2, Hengelo                  ,   01.06.2009
206,01:43.37, William Tanui               ,   KEN   ,  22.02.64 ,2, Rieti                    ,   06.09.1992
206,01:43.37, Mohammed Aman               ,   ETH   ,  10.01.94 ,   3rA   , Rieti                    ,   10.09.2011
206,01:43.37, Nicholas Kipkoech           ,   KEN   ,  22.10.92 ,1, Nairobi                  ,   29.04.2016
209,01:43.38, Nixon Kiprotich             ,   KEN   ,  04.12.62 ,   2rA   , Zürich                   ,   16.08.1989
209,01:43.38, Sebastian Coe               ,   GBR   ,  29.09.56 ,1, Bern                     ,   29.08.1989
209,01:43.38, David Kiptoo Singoei        ,   KEN   ,  26.06.65 ,2, Monaco                   ,   10.08.1996
209,01:43.38, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Athínai                  ,   08.08.1997
209,01:43.38, Rich Kenah                  ,   USA   ,  04.08.70 ,   3rA   , Zürich                   ,   13.08.1997
209,01:43.38, Arthémon Hatungimana        ,   BDI   ,  21.01.74 ,3, Bruxelles                ,   24.08.2001
209,01:43.38, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,   1rA   , Zürich                   ,   18.08.2006
216,01:43.39, Billy Konchellah            ,   KEN   ,  20.10.61 ,   1rA   , Zürich                   ,   19.08.1987
216,01:43.39, Johnny Gray                 ,   USA   ,  19.06.60 ,1, Oslo                     ,   01.07.1989
216,01:43.39, William Tanui               ,   KEN   ,  22.02.64 ,1, Bruxelles                ,   10.08.1990
216,01:43.39, Patrick Konchellah          ,   KEN   ,  20.04.68 ,   2rA   , Linz                     ,   09.07.1997
220,01:43.40, David Rudisha               ,   KEN   ,  17.12.88 ,   1h3   , Eldoret                  ,   30.06.2016
220,01:43.40, Mark Everett                ,   USA   ,  02.09.68 ,1, Oslo                     ,   04.07.1992
220,01:43.40, Leonard Kosencha            ,   KEN   ,  21.08.94 ,2, Monaco                   ,   20.07.2012
223,01:43.41, Peter Elliott               ,   GBR   ,  09.10.62 ,2, Roma                     ,   01.09.1987
223,01:43.41, Pierre-Ambroise Bosse       ,   FRA   ,  11.05.92 ,4, Rio de Janeiro           ,   15.08.2016
